,Filename,Size in,Depth in,Size out,Depth out,CX Count out,CX Depth out,Runtime
alu-v0_27.qasm,benchmarking/ibmq/alu-v0_27.qasm,68,23,39,26,17,15,0.010705
pm1_249.qasm,benchmarking/ibmq/pm1_249.qasm,1808,942,1910,1195,739,652,1.008367
mod5mils_65.qasm,benchmarking/ibmq/mod5mils_65.qasm,67,23,35,21,16,16,0.009002
9symml_195.qasm,benchmarking/ibmq/9symml_195.qasm,34913,19237,38987,24990,14240,12280,30.082664
mod10_171.qasm,benchmarking/ibmq/mod10_171.qasm,276,141,261,167,108,105,0.065515
ex1_226.qasm,benchmarking/ibmq/ex1_226.qasm,39,7,7,5,5,5,0.035000
ex-1_166.qasm,benchmarking/ibmq/ex-1_166.qasm,51,14,19,12,9,9,0.005720
decod24-v1_41.qasm,benchmarking/ibmq/decod24-v1_41.qasm,117,52,94,59,36,33,0.083961
4gt12-v0_88.qasm,benchmarking/ibmq/4gt12-v0_88.qasm,226,110,209,136,83,80,0.091308
rd53_138.qasm,benchmarking/ibmq/rd53_138.qasm,164,58,145,85,60,49,0.043688
4gt4-v0_79.qasm,benchmarking/ibmq/4gt4-v0_79.qasm,263,134,256,166,104,98,0.128901
max46_240.qasm,benchmarking/ibmq/max46_240.qasm,27158,14259,30343,19109,11104,9463,22.926675
alu-v3_34.qasm,benchmarking/ibmq/alu-v3_34.qasm,84,32,53,30,24,23,0.009780
3_17_13.qasm,benchmarking/ibmq/3_17_13.qasm,68,24,36,22,17,17,0.007327
decod24-v3_45.qasm,benchmarking/ibmq/decod24-v3_45.qasm,182,86,164,102,61,57,0.118629
4gt4-v0_80.qasm,benchmarking/ibmq/4gt4-v0_80.qasm,211,103,199,126,79,74,0.076633
mod8-10_178.qasm,benchmarking/ibmq/mod8-10_178.qasm,374,195,396,278,152,142,0.188668
hwb7_59.qasm,benchmarking/ibmq/hwb7_59.qasm,24411,13439,27004,17471,10305,9158,14.618039
hwb4_49.qasm,benchmarking/ibmq/hwb4_49.qasm,265,136,253,168,107,100,0.081777
root_255.qasm,benchmarking/ibmq/root_255.qasm,17191,8837,18973,11591,7197,6119,13.449754
4mod5-bdd_287.qasm,benchmarking/ibmq/4mod5-bdd_287.qasm,102,43,80,55,31,31,0.043974
urf5_158.qasm,benchmarking/ibmq/urf5_158.qasm,164448,89147,179581,111304,69874,64604,105.581054
4gt11_84.qasm,benchmarking/ibmq/4gt11_84.qasm,50,13,18,11,9,8,0.007235
decod24-v0_38.qasm,benchmarking/ibmq/decod24-v0_38.qasm,83,32,51,30,23,23,0.008660
ising_model_10.qasm,benchmarking/ibmq/ising_model_10.qasm,512,72,480,70,90,20,0.122670
4mod5-v0_19.qasm,benchmarking/ibmq/4mod5-v0_19.qasm,67,23,35,21,16,16,0.009039
4gt4-v1_74.qasm,benchmarking/ibmq/4gt4-v1_74.qasm,305,156,290,173,119,110,0.087458
4mod5-v1_22.qasm,benchmarking/ibmq/4mod5-v1_22.qasm,53,14,21,12,11,10,0.011337
4gt12-v0_87.qasm,benchmarking/ibmq/4gt12-v0_87.qasm,279,133,269,167,109,101,0.126178
alu-v1_29.qasm,benchmarking/ibmq/alu-v1_29.qasm,69,24,38,22,17,15,0.010199
4gt12-v0_86.qasm,benchmarking/ibmq/4gt12-v0_86.qasm,283,137,274,172,113,104,0.121567
alu-v1_28.qasm,benchmarking/ibmq/alu-v1_28.qasm,69,24,38,22,18,16,0.011145
4mod5-v1_23.qasm,benchmarking/ibmq/4mod5-v1_23.qasm,101,43,73,47,32,30,0.017185
hwb9_119.qasm,benchmarking/ibmq/hwb9_119.qasm,207807,116201,229722,147347,86724,76591,156.119600
sf_274.qasm,benchmarking/ibmq/sf_274.qasm,813,438,852,567,331,307,0.419594
life_238.qasm,benchmarking/ibmq/life_238.qasm,22477,12513,25589,16844,9169,7878,22.836153
4mod5-v0_18.qasm,benchmarking/ibmq/4mod5-v0_18.qasm,101,42,72,47,31,31,0.016382
majority_239.qasm,benchmarking/ibmq/majority_239.qasm,644,346,653,405,256,224,0.315904
hwb5_53.qasm,benchmarking/ibmq/hwb5_53.qasm,1368,760,1455,933,585,545,0.758662
ham7_104.qasm,benchmarking/ibmq/ham7_104.qasm,352,187,346,224,143,132,0.245871
urf2_152.qasm,benchmarking/ibmq/urf2_152.qasm,80512,44102,88262,56357,34921,33116,38.150565
rd53_135.qasm,benchmarking/ibmq/rd53_135.qasm,328,161,320,207,129,120,0.133668
rd32_270.qasm,benchmarking/ibmq/rd32_270.qasm,116,49,90,58,36,35,0.023418
cm152a_212.qasm,benchmarking/ibmq/cm152a_212.qasm,1253,686,1292,787,509,454,0.639825
4gt10-v1_81.qasm,benchmarking/ibmq/4gt10-v1_81.qasm,180,86,166,111,63,57,0.120741
qft_10.qasm,benchmarking/ibmq/qft_10.qasm,232,65,214,125,88,64,0.063135
rd32-v0_66.qasm,benchmarking/ibmq/rd32-v0_66.qasm,66,22,34,20,16,16,0.007652
rd53_251.qasm,benchmarking/ibmq/rd53_251.qasm,1323,714,1385,849,556,499,0.679922
alu-v3_35.qasm,benchmarking/ibmq/alu-v3_35.qasm,69,24,40,26,18,16,0.015778
squar5_261.qasm,benchmarking/ibmq/squar5_261.qasm,2025,1051,2198,1356,831,721,1.616537
4gt4-v0_78.qasm,benchmarking/ibmq/4gt4-v0_78.qasm,267,139,259,165,107,100,0.144658
urf2_277.qasm,benchmarking/ibmq/urf2_277.qasm,20144,11392,22303,14622,9842,8734,12.050760
urf3_155.qasm,benchmarking/ibmq/urf3_155.qasm,423520,229367,469630,296126,179581,167191,329.552746
4gt13-v1_93.qasm,benchmarking/ibmq/4gt13-v1_93.qasm,100,41,72,42,29,26,0.069330
4gt4-v0_73.qasm,benchmarking/ibmq/4gt4-v0_73.qasm,427,229,435,288,176,163,0.240850
one-two-three-v0_97.qasm,benchmarking/ibmq/one-two-three-v0_97.qasm,322,165,320,213,122,114,0.251980
rd73_252.qasm,benchmarking/ibmq/rd73_252.qasm,5353,2869,5884,3718,2193,1946,4.210708
rd84_142.qasm,benchmarking/ibmq/rd84_142.qasm,375,112,380,167,153,96,0.170201
sym9_193.qasm,benchmarking/ibmq/sym9_193.qasm,34913,19237,38987,24990,14240,12280,30.229009
4mod7-v1_96.qasm,benchmarking/ibmq/4mod7-v1_96.qasm,196,96,178,117,72,68,0.048479
