,Filename,Size in,Depth in,Size out,Depth out,CX Count out,CX Depth out,Runtime
4gt10-v1_81.qasm,benchmarking/ibmq/4gt10-v1_81.qasm,180,86,215,170,150,141,0.162311
qft_10.qasm,benchmarking/ibmq/qft_10.qasm,232,65,115,58,82,46,0.322943
rd32-v0_66.qasm,benchmarking/ibmq/rd32-v0_66.qasm,66,22,39,31,24,24,0.021806
rd53_251.qasm,benchmarking/ibmq/rd53_251.qasm,1323,714,1877,1394,1311,1132,2.057509
alu-v3_35.qasm,benchmarking/ibmq/alu-v3_35.qasm,69,24,52,39,36,32,0.034989
squar5_261.qasm,benchmarking/ibmq/squar5_261.qasm,2025,1051,2994,2104,2119,1753,3.243398
4gt4-v0_78.qasm,benchmarking/ibmq/4gt4-v0_78.qasm,267,139,326,252,227,208,0.270573
urf2_277.qasm,benchmarking/ibmq/urf2_277.qasm,20144,11392,32142,23536,24005,19880,31.953109
urf3_155.qasm,benchmarking/ibmq/urf3_155.qasm,423520,229367,630246,456375,444964,381094,698.291607
4gt13-v1_93.qasm,benchmarking/ibmq/4gt13-v1_93.qasm,100,41,97,75,66,60,0.05592
4gt4-v0_73.qasm,benchmarking/ibmq/4gt4-v0_73.qasm,427,229,555,447,385,371,0.409074
one-two-three-v0_97.qasm,benchmarking/ibmq/one-two-three-v0_97.qasm,322,165,425,344,297,283,0.289342
rd73_252.qasm,benchmarking/ibmq/rd73_252.qasm,5353,2869,7825,5622,5503,4686,7.921929
rd84_142.qasm,benchmarking/ibmq/rd84_142.qasm,375,112,529,268,379,226,0.574051
sym9_193.qasm,benchmarking/ibmq/sym9_193.qasm,34913,19237,53557,38768,38323,32651,61.88883
4mod7-v1_96.qasm,benchmarking/ibmq/4mod7-v1_96.qasm,196,96,237,189,164,155,0.167156
ising_model_16.qasm,benchmarking/ibmq/ising_model_16.qasm,818,73,398,79,198,49,1.209196
urf4_187.qasm,benchmarking/ibmq/urf4_187.qasm,512096,264332,768610,527884,544573,441622,861.073841
4mod5-v1_24.qasm,benchmarking/ibmq/4mod5-v1_24.qasm,68,23,52,41,37,35,0.029802
f2_232.qasm,benchmarking/ibmq/f2_232.qasm,1238,670,1792,1369,1264,1157,1.617927
mod5d1_63.qasm,benchmarking/ibmq/mod5d1_63.qasm,54,15,34,28,26,23,0.01691
sym9_146.qasm,benchmarking/ibmq/sym9_146.qasm,360,129,512,315,370,269,0.476481
dist_223.qasm,benchmarking/ibmq/dist_223.qasm,38078,19696,58529,40557,41905,34202,66.156233
alu-v4_36.qasm,benchmarking/ibmq/alu-v4_36.qasm,147,68,159,129,109,105,0.14896
sym10_262.qasm,benchmarking/ibmq/sym10_262.qasm,64315,35574,97753,70461,69667,59208,112.485718
plus63mod4096_163.qasm,benchmarking/ibmq/plus63mod4096_163.qasm,128776,72248,200485,149591,144160,123413,255.513133
alu-bdd_288.qasm,benchmarking/ibmq/alu-bdd_288.qasm,116,50,127,100,89,85,0.090849
ground_state_estimation_10.qasm,benchmarking/ibmq/ground_state_estimation_10.qasm,390212,245616,28327,20072,23291,17311,188.070446
4gt11_82.qasm,benchmarking/ibmq/4gt11_82.qasm,59,22,47,38,39,34,0.020643
4gt5_75.qasm,benchmarking/ibmq/4gt5_75.qasm,115,49,120,97,83,80,0.079553
graycode6_47.qasm,benchmarking/ibmq/graycode6_47.qasm,37,7,5,5,5,5,0.004187
alu-v2_33.qasm,benchmarking/ibmq/alu-v2_33.qasm,69,24,49,39,32,30,0.03326
alu-v2_32.qasm,benchmarking/ibmq/alu-v2_32.qasm,195,94,233,183,159,152,0.153979
4gt11_83.qasm,benchmarking/ibmq/4gt11_83.qasm,55,18,37,33,29,29,0.017898
hwb8_113.qasm,benchmarking/ibmq/hwb8_113.qasm,69412,38719,102207,76601,71850,62558,110.42442
qft_16.qasm,benchmarking/ibmq/qft_16.qasm,544,107,302,106,215,86,0.82723
plus63mod8192_164.qasm,benchmarking/ibmq/plus63mod8192_164.qasm,187144,105144,291824,218356,209966,180829,414.820381
decod24-v2_43.qasm,benchmarking/ibmq/decod24-v2_43.qasm,84,32,74,61,49,49,0.046592
cnt3-5_180.qasm,benchmarking/ibmq/cnt3-5_180.qasm,517,211,742,463,525,387,0.678788
clip_206.qasm,benchmarking/ibmq/clip_206.qasm,33859,17881,52117,36492,37345,30749,68.390721
sqrt8_260.qasm,benchmarking/ibmq/sqrt8_260.qasm,3041,1661,4567,3409,3250,2808,5.122843
4gt13_92.qasm,benchmarking/ibmq/4gt13_92.qasm,98,40,93,69,63,56,0.052559
cnt3-5_179.qasm,benchmarking/ibmq/cnt3-5_179.qasm,207,63,292,157,216,130,0.290206
