,Filename,Size in,Depth in,Size out,Depth out,CX Count out,CX Depth out,Runtime
alu-v0_27.qasm,benchmarking/ibmq/alu-v0_27.qasm,68,23,45,32,17,15,0.025899
pm1_249.qasm,benchmarking/ibmq/pm1_249.qasm,1808,942,2137,1440,673,562,1.667808
mod5mils_65.qasm,benchmarking/ibmq/mod5mils_65.qasm,67,23,42,33,16,16,0.026599
9symml_195.qasm,benchmarking/ibmq/9symml_195.qasm,34913,19237,43758,30870,13530,11324,41.639133
mod10_171.qasm,benchmarking/ibmq/mod10_171.qasm,276,141,286,205,99,88,0.131363
ex1_226.qasm,benchmarking/ibmq/ex1_226.qasm,39,7,9,6,5,5,0.015250
ex-1_166.qasm,benchmarking/ibmq/ex-1_166.qasm,51,14,22,16,9,9,0.012738
decod24-v1_41.qasm,benchmarking/ibmq/decod24-v1_41.qasm,117,52,100,75,36,33,0.093245
4gt12-v0_88.qasm,benchmarking/ibmq/4gt12-v0_88.qasm,226,110,228,155,77,68,0.116174
rd53_138.qasm,benchmarking/ibmq/rd53_138.qasm,164,58,163,90,58,42,0.091082
4gt4-v0_79.qasm,benchmarking/ibmq/4gt4-v0_79.qasm,263,134,271,196,94,84,0.154280
max46_240.qasm,benchmarking/ibmq/max46_240.qasm,27158,14259,34165,23102,10372,8336,30.115449
alu-v3_34.qasm,benchmarking/ibmq/alu-v3_34.qasm,84,32,64,46,24,23,0.032000
3_17_13.qasm,benchmarking/ibmq/3_17_13.qasm,68,24,42,33,17,17,0.017524
decod24-v3_45.qasm,benchmarking/ibmq/decod24-v3_45.qasm,182,86,175,130,59,52,0.129557
4gt4-v0_80.qasm,benchmarking/ibmq/4gt4-v0_80.qasm,211,103,216,149,72,64,0.118573
mod8-10_178.qasm,benchmarking/ibmq/mod8-10_178.qasm,374,195,411,294,134,118,0.218685
hwb7_59.qasm,benchmarking/ibmq/hwb7_59.qasm,24411,13439,29800,20757,9426,8021,24.089126
hwb4_49.qasm,benchmarking/ibmq/hwb4_49.qasm,265,136,274,211,104,100,0.124441
root_255.qasm,benchmarking/ibmq/root_255.qasm,17191,8837,21876,14659,6682,5377,21.143491
4mod5-bdd_287.qasm,benchmarking/ibmq/4mod5-bdd_287.qasm,102,43,84,60,31,31,0.037035
urf5_158.qasm,benchmarking/ibmq/urf5_158.qasm,164448,89147,204899,139679,66523,59871,166.242530
4gt11_84.qasm,benchmarking/ibmq/4gt11_84.qasm,50,13,21,15,9,8,0.021041
decod24-v0_38.qasm,benchmarking/ibmq/decod24-v0_38.qasm,83,32,62,47,23,23,0.029595
ising_model_10.qasm,benchmarking/ibmq/ising_model_10.qasm,512,72,480,70,90,20,0.031708
4mod5-v0_19.qasm,benchmarking/ibmq/4mod5-v0_19.qasm,67,23,42,29,16,16,0.025608
4gt4-v1_74.qasm,benchmarking/ibmq/4gt4-v1_74.qasm,305,156,316,219,105,94,0.195738
4mod5-v1_22.qasm,benchmarking/ibmq/4mod5-v1_22.qasm,53,14,24,17,11,10,0.013632
4gt12-v0_87.qasm,benchmarking/ibmq/4gt12-v0_87.qasm,279,133,294,201,101,83,0.162816
alu-v1_29.qasm,benchmarking/ibmq/alu-v1_29.qasm,69,24,46,33,17,15,0.026589
4gt12-v0_86.qasm,benchmarking/ibmq/4gt12-v0_86.qasm,283,137,300,207,105,87,0.205274
alu-v1_28.qasm,benchmarking/ibmq/alu-v1_28.qasm,69,24,46,33,18,16,0.025656
4mod5-v1_23.qasm,benchmarking/ibmq/4mod5-v1_23.qasm,101,43,87,69,32,30,0.046274
hwb9_119.qasm,benchmarking/ibmq/hwb9_119.qasm,207807,116201,258877,182639,80758,68907,228.929146
sf_274.qasm,benchmarking/ibmq/sf_274.qasm,813,438,907,639,290,255,0.582338
life_238.qasm,benchmarking/ibmq/life_238.qasm,22477,12513,28672,20316,8629,7251,26.871017
4mod5-v0_18.qasm,benchmarking/ibmq/4mod5-v0_18.qasm,101,42,84,67,31,31,0.046567
majority_239.qasm,benchmarking/ibmq/majority_239.qasm,644,346,709,502,237,202,0.480610
hwb5_53.qasm,benchmarking/ibmq/hwb5_53.qasm,1368,760,1586,1185,557,516,0.921220
ham7_104.qasm,benchmarking/ibmq/ham7_104.qasm,352,187,387,276,137,123,0.266179
urf2_152.qasm,benchmarking/ibmq/urf2_152.qasm,80512,44102,99513,68935,32595,30032,76.897366
rd53_135.qasm,benchmarking/ibmq/rd53_135.qasm,328,161,354,233,121,103,0.232715
rd32_270.qasm,benchmarking/ibmq/rd32_270.qasm,116,49,103,75,36,35,0.059991
cm152a_212.qasm,benchmarking/ibmq/cm152a_212.qasm,1253,686,1478,1036,472,401,1.177477
4gt10-v1_81.qasm,benchmarking/ibmq/4gt10-v1_81.qasm,180,86,174,128,61,55,0.128935
qft_10.qasm,benchmarking/ibmq/qft_10.qasm,232,65,240,90,90,36,0.113471
rd32-v0_66.qasm,benchmarking/ibmq/rd32-v0_66.qasm,66,22,41,32,16,16,0.022456
rd53_251.qasm,benchmarking/ibmq/rd53_251.qasm,1323,714,1578,1121,513,443,1.194500
alu-v3_35.qasm,benchmarking/ibmq/alu-v3_35.qasm,69,24,46,33,18,16,0.025498
squar5_261.qasm,benchmarking/ibmq/squar5_261.qasm,2025,1051,2544,1717,786,661,2.254095
4gt4-v0_78.qasm,benchmarking/ibmq/4gt4-v0_78.qasm,267,139,278,201,96,87,0.181946
urf2_277.qasm,benchmarking/ibmq/urf2_277.qasm,20144,11392,26379,18511,9210,7804,23.015882
urf3_155.qasm,benchmarking/ibmq/urf3_155.qasm,423520,229367,528751,362713,174165,158589,473.382665
4gt13-v1_93.qasm,benchmarking/ibmq/4gt13-v1_93.qasm,100,41,77,57,28,25,0.084965
4gt4-v0_73.qasm,benchmarking/ibmq/4gt4-v0_73.qasm,427,229,466,345,159,140,0.257128
one-two-three-v0_97.qasm,benchmarking/ibmq/one-two-three-v0_97.qasm,322,165,350,263,120,108,0.239656
rd73_252.qasm,benchmarking/ibmq/rd73_252.qasm,5353,2869,6478,4504,2106,1801,5.520219
rd84_142.qasm,benchmarking/ibmq/rd84_142.qasm,375,112,407,196,141,88,0.321001
sym9_193.qasm,benchmarking/ibmq/sym9_193.qasm,34913,19237,43758,30870,13530,11324,40.339405
4mod7-v1_96.qasm,benchmarking/ibmq/4mod7-v1_96.qasm,196,96,191,144,66,59,0.092396
ising_model_16.qasm,benchmarking/ibmq/ising_model_16.qasm,818,73,786,71,150,20,0.057283
urf4_187.qasm,benchmarking/ibmq/urf4_187.qasm,512096,264332,640398,415649,198676,165638,573.158706
4mod5-v1_24.qasm,benchmarking/ibmq/4mod5-v1_24.qasm,68,23,44,33,16,15,0.080833
f2_232.qasm,benchmarking/ibmq/f2_232.qasm,1238,670,1466,1019,473,402,0.956291
mod5d1_63.qasm,benchmarking/ibmq/mod5d1_63.qasm,54,15,28,22,13,11,0.016404
sym9_146.qasm,benchmarking/ibmq/sym9_146.qasm,360,129,410,242,142,103,0.267671
dist_223.qasm,benchmarking/ibmq/dist_223.qasm,38078,19696,48221,32816,15079,12222,45.005304
alu-v4_36.qasm,benchmarking/ibmq/alu-v4_36.qasm,147,68,133,97,48,44,0.121675
sym10_262.qasm,benchmarking/ibmq/sym10_262.qasm,64315,35574,81396,57469,25100,21073,79.077330
plus63mod4096_163.qasm,benchmarking/ibmq/plus63mod4096_163.qasm,128776,72248,162610,115230,50784,43209,160.600107
alu-bdd_288.qasm,benchmarking/ibmq/alu-bdd_288.qasm,116,50,100,71,36,33,0.109032
ground_state_estimation_10.qasm,benchmarking/ibmq/ground_state_estimation_10.qasm,390212,245616,453352,311212,153765,151301,222.556210
4gt11_82.qasm,benchmarking/ibmq/4gt11_82.qasm,59,22,37,28,18,18,0.028728
4gt5_75.qasm,benchmarking/ibmq/4gt5_75.qasm,115,49,99,74,36,31,0.041198
graycode6_47.qasm,benchmarking/ibmq/graycode6_47.qasm,37,7,5,5,5,5,0.012885
alu-v2_33.qasm,benchmarking/ibmq/alu-v2_33.qasm,69,24,45,31,17,15,0.024601
alu-v2_32.qasm,benchmarking/ibmq/alu-v2_32.qasm,195,94,187,133,65,57,0.092328
4gt11_83.qasm,benchmarking/ibmq/4gt11_83.qasm,55,18,29,23,14,14,0.020514
hwb8_113.qasm,benchmarking/ibmq/hwb8_113.qasm,69412,38719,85261,59863,26740,22685,67.102484
qft_16.qasm,benchmarking/ibmq/qft_16.qasm,544,107,634,193,229,74,0.445787
