,Filename,Size in,Depth in,Size out,Depth out,CX Count out,CX Depth out,Runtime
4mod5-bdd_287.qasm,benchmarking/ibmq/4mod5-bdd_287.qasm,102,43,107,89,76,75,0.075702
urf5_158.qasm,benchmarking/ibmq/urf5_158.qasm,164448,89147,280836,204614,208899,172057,250.368984
4gt11_84.qasm,benchmarking/ibmq/4gt11_84.qasm,50,13,26,22,18,18,0.018866
decod24-v0_38.qasm,benchmarking/ibmq/decod24-v0_38.qasm,83,32,72,59,48,48,0.050464
ising_model_10.qasm,benchmarking/ibmq/ising_model_10.qasm,512,72,397,132,261,112,0.623717
4mod5-v0_19.qasm,benchmarking/ibmq/4mod5-v0_19.qasm,67,23,56,47,40,39,0.037362
4gt4-v1_74.qasm,benchmarking/ibmq/4gt4-v1_74.qasm,305,156,411,324,290,272,0.298055
4mod5-v1_22.qasm,benchmarking/ibmq/4mod5-v1_22.qasm,53,14,34,29,26,25,0.026788
4gt12-v0_87.qasm,benchmarking/ibmq/4gt12-v0_87.qasm,279,133,363,287,256,240,0.24856
alu-v1_29.qasm,benchmarking/ibmq/alu-v1_29.qasm,69,24,60,50,44,42,0.047278
4gt12-v0_86.qasm,benchmarking/ibmq/4gt12-v0_86.qasm,283,137,371,295,264,248,0.253802
alu-v1_28.qasm,benchmarking/ibmq/alu-v1_28.qasm,69,24,61,51,45,43,0.033903
4mod5-v1_23.qasm,benchmarking/ibmq/4mod5-v1_23.qasm,101,43,108,91,77,75,0.085603
hwb9_119.qasm,benchmarking/ibmq/hwb9_119.qasm,207807,116201,369683,287372,278792,243305,357.878183
sf_274.qasm,benchmarking/ibmq/sf_274.qasm,813,438,1196,947,858,803,0.889922
life_238.qasm,benchmarking/ibmq/life_238.qasm,22477,12513,38425,29298,28623,24935,41.440572
4mod5-v0_18.qasm,benchmarking/ibmq/4mod5-v0_18.qasm,101,42,102,87,73,72,0.077076
majority_239.qasm,benchmarking/ibmq/majority_239.qasm,644,346,965,751,697,623,0.761494
hwb5_53.qasm,benchmarking/ibmq/hwb5_53.qasm,1368,760,2043,1706,1457,1390,1.69363
ham7_104.qasm,benchmarking/ibmq/ham7_104.qasm,352,187,490,400,351,335,0.364473
