,Filename,Size in,Depth in,Size out,Depth out,CX Count out,CX Depth out,Runtime
alu-v0_27.qasm,benchmarking/ibmq/alu-v0_27.qasm,68,23,51,41,35,33,0.043486
pm1_249.qasm,benchmarking/ibmq/pm1_249.qasm,1808,942,2112,1416,1333,1146,3.048325
mod5mils_65.qasm,benchmarking/ibmq/mod5mils_65.qasm,67,23,40,30,25,25,0.038196
9symml_195.qasm,benchmarking/ibmq/9symml_195.qasm,34913,19237,44308,30639,29074,24967,46.955861
mod10_171.qasm,benchmarking/ibmq/mod10_171.qasm,276,141,309,228,201,188,0.282706
ex1_226.qasm,benchmarking/ibmq/ex1_226.qasm,39,7,10,6,8,6,0.009576
ex-1_166.qasm,benchmarking/ibmq/ex-1_166.qasm,51,14,27,22,18,18,0.015926
decod24-v1_41.qasm,benchmarking/ibmq/decod24-v1_41.qasm,117,52,107,75,68,60,0.064267
4gt12-v0_88.qasm,benchmarking/ibmq/4gt12-v0_88.qasm,226,110,233,158,146,126,0.216868
rd53_138.qasm,benchmarking/ibmq/rd53_138.qasm,164,58,151,101,93,82,0.091613
4gt4-v0_79.qasm,benchmarking/ibmq/4gt4-v0_79.qasm,263,134,238,156,139,125,0.195861
max46_240.qasm,benchmarking/ibmq/max46_240.qasm,27158,14259,35147,24246,23301,19832,37.676368
alu-v3_34.qasm,benchmarking/ibmq/alu-v3_34.qasm,84,32,65,52,42,42,0.043083
3_17_13.qasm,benchmarking/ibmq/3_17_13.qasm,68,24,51,44,35,35,0.033903
decod24-v3_45.qasm,benchmarking/ibmq/decod24-v3_45.qasm,182,86,177,122,109,98,0.137260
4gt4-v0_80.qasm,benchmarking/ibmq/4gt4-v0_80.qasm,211,103,192,124,112,98,0.131686
mod8-10_178.qasm,benchmarking/ibmq/mod8-10_178.qasm,374,195,378,255,227,201,0.315534
hwb7_59.qasm,benchmarking/ibmq/hwb7_59.qasm,24411,13439,32325,23347,21659,18854,38.425062
hwb4_49.qasm,benchmarking/ibmq/hwb4_49.qasm,265,136,269,201,171,163,0.192885
root_255.qasm,benchmarking/ibmq/root_255.qasm,17191,8837,21117,14172,13621,11384,24.998657
