,Filename,Size in,Depth in,Size out,Depth out,CX Count out
xor5_254.qasm,benchmarking/ibmq/xor5_254.qasm,39,7,13,11,11
4_49_16.qasm,benchmarking/ibmq/4_49_16.qasm,249,127,307,246,213
sys6-v0_111.qasm,benchmarking/ibmq/sys6-v0_111.qasm,247,77,333,165,239
urf5_280.qasm,benchmarking/ibmq/urf5_280.qasm,49861,27824,77762,57555,57029
square_root_7.qasm,benchmarking/ibmq/square_root_7.qasm,7662,3849,10871,7900,8156
cycle10_2_110.qasm,benchmarking/ibmq/cycle10_2_110.qasm,6082,3388,9275,6986,6624
rd84_253.qasm,benchmarking/ibmq/rd84_253.qasm,13690,7263,21165,15182,15205
ham15_107.qasm,benchmarking/ibmq/ham15_107.qasm,8795,4821,13283,9789,9457
inc_237.qasm,benchmarking/ibmq/inc_237.qasm,10651,5865,16289,11981,11645
rd53_130.qasm,benchmarking/ibmq/rd53_130.qasm,1075,571,1465,1098,1015
alu-v2_31.qasm,benchmarking/ibmq/alu-v2_31.qasm,483,257,640,495,441
4gt5_77.qasm,benchmarking/ibmq/4gt5_77.qasm,163,76,184,142,126
sym9_148.qasm,benchmarking/ibmq/sym9_148.qasm,21536,12089,33583,25273,24173
radd_250.qasm,benchmarking/ibmq/radd_250.qasm,3245,1783,4984,3632,3577
mod10_176.qasm,benchmarking/ibmq/mod10_176.qasm,210,103,251,199,171
C17_204.qasm,benchmarking/ibmq/C17_204.qasm,499,255,669,505,464
0410184_169.qasm,benchmarking/ibmq/0410184_169.qasm,243,106,337,211,246
con1_216.qasm,benchmarking/ibmq/con1_216.qasm,986,510,1369,985,953
rd53_311.qasm,benchmarking/ibmq/rd53_311.qasm,307,126,426,273,302
4gt13_91.qasm,benchmarking/ibmq/4gt13_91.qasm,135,63,147,122,103
one-two-three-v0_98.qasm,benchmarking/ibmq/one-two-three-v0_98.qasm,178,84,214,173,149
4gt13_90.qasm,benchmarking/ibmq/4gt13_90.qasm,139,67,157,131,113
dc2_222.qasm,benchmarking/ibmq/dc2_222.qasm,9494,5244,14677,10642,10544
ex3_229.qasm,benchmarking/ibmq/ex3_229.qasm,435,228,580,462,403
ham3_102.qasm,benchmarking/ibmq/ham3_102.qasm,52,15,26,22,18
adr4_197.qasm,benchmarking/ibmq/adr4_197.qasm,3471,1841,5270,3722,3766
one-two-three-v1_99.qasm,benchmarking/ibmq/one-two-three-v1_99.qasm,164,78,201,163,143
mini-alu_167.qasm,benchmarking/ibmq/mini-alu_167.qasm,320,164,406,322,278
alu-v2_30.qasm,benchmarking/ibmq/alu-v2_30.qasm,536,287,751,573,530
4gt5_76.qasm,benchmarking/ibmq/4gt5_76.qasm,123,58,137,113,100
